notify_email,case_url,court_type,court_name,region,rf_subject,timezone,plaintiff,defendant,court_label,case_number,comment
karasev.tmn@gmail.com,https://www.mos-gorsud.ru/rs/solncevskij/services/cases/civil/details/c5537a81-f05a-11ef-8772-c51d49b0dc26?uid=77RS0025-02-2025-000985-02&formType=fullForm#tabs-3,mos-gorsud,Суд1,Тюменская область,Тюменская область,Asia/Yekaterinburg,Истец1,Ответчик1,Суд1,Дело-001/2026,Тестовые метаданные 1
karasev.tmn@gmail.com,https://mos-gorsud.ru/rs/kuncevskij/services/cases/civil/details/14396821-fd21-11f0-8e2e-6db2e736df52?participant=%D1%84%D0%BE%D0%BD%D0%B4+%D0%B8%D0%BF%D0%BE%D1%82%D0%B5%D1%87%D0%BD%D0%BE%D0%B3%D0%BE,mos-gorsud,Суд2,Тюменская область,Тюменская область,Asia/Yekaterinburg,Истец2,Ответчик2,Суд2,Дело-002/2026,Тестовые метаданные 2
karasev.tmn@gmail.com,https://mos-gorsud.ru/rs/tverskoj/services/cases/civil/details/376746bd-b7fb-4b13-8cf5-7dba1683d418,mos-gorsud,Суд3,Тюменская область,Тюменская область,Asia/Yekaterinburg,Истец3,Ответчик3,Суд3,Дело-003/2026,Тестовые метаданные 3
karasev.tmn@gmail.com,https://mos-gorsud.ru/rs/tushinskij/services/cases/civil/details/23044cd2-9e16-4899-98db-edcf2e4dc57c,mos-gorsud,Суд4,Тюменская область,Тюменская область,Asia/Yekaterinburg,Истец4,Ответчик4,Суд4,Дело-004/2026,Тестовые метаданные 4
karasev.tmn@gmail.com,https://mos-gorsud.ru/mgs/services/cases/appeal-civil/details/38a1c624-de2e-41e5-9743-635523b0a702,mos-gorsud,Суд5,Тюменская область,Тюменская область,Asia/Yekaterinburg,Истец5,Ответчик5,Суд5,Дело-005/2026,Тестовые метаданные 5
karasev.tmn@gmail.com,https://mos-gorsud.ru/mgs/services/cases/appeal-civil/details/27d9804b-486b-4b84-877b-310ef8bbf6f1,mos-gorsud,Суд6,Тюменская область,Тюменская область,Asia/Yekaterinburg,Истец6,Ответчик6,Суд6,Дело-006/2026,Тестовые метаданные 6
karasev.tmn@gmail.com,https://8kas.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=37689741&case_uid=9c5fca3b-deec-4d04-8cb6-b4ba00acd013&new=2800001&delo_id=2800001,sudrf,Суд7,Тюменская область,Тюменская область,Asia/Yekaterinburg,Истец7,Ответчик7,Суд7,Дело-007/2026,Тестовые метаданные 7
karasev.tmn@gmail.com,https://novoilinsky--kmr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=602926969&case_uid=50986426-750b-401b-9205-fec73a6f598c&delo_id=1540005,sudrf,Суд8,Тюменская область,Тюменская область,Asia/Yekaterinburg,Истец8,Ответчик8,Суд8,Дело-008/2026,Тестовые метаданные 8
karasev.tmn@gmail.com,https://oktiabrsky--svd.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=557684338&case_uid=9d7293ce-d4fc-4235-9a71-80462b79a6d3&delo_id=1540005,sudrf,Суд9,Тюменская область,Тюменская область,Asia/Yekaterinburg,Истец9,Ответчик9,Суд9,Дело-009/2026,Тестовые метаданные 9
karasev.tmn@gmail.com,https://pervorechensky--prm.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=253823256&case_uid=15432b74-ccd6-4224-8734-dcca3cbeb073&delo_id=1540005,sudrf,Суд10,Тюменская область,Тюменская область,Asia/Yekaterinburg,Истец10,Ответчик10,Суд10,Дело-010/2026,Тестовые метаданные 10
karasev.tmn@gmail.com,http://oblsud--tum.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11035923&case_uid=f49aa524-e88f-4671-b24c-553f2bfb86ce&delo_id=5&new=5,sudrf,Суд11,Тюменская область,Тюменская область,Asia/Yekaterinburg,Истец11,Ответчик11,Суд11,Дело-011/2026,Тестовые метаданные 11
karasev.tmn@gmail.com,https://oblsud--tum.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11037005&case_uid=a617e821-b17e-4671-a9ff-991571f66305&delo_id=5&new=5,sudrf,Суд12,Тюменская область,Тюменская область,Asia/Yekaterinburg,Истец12,Ответчик12,Суд12,Дело-012/2026,Тестовые метаданные 12
